employee_id,age,gender,department,job_role,education_level,tenure_years,monthly_income,job_satisfaction,work_life_balance,overtime_hours,performance_rating,attrition
EMP0338,43,Male,Marketing,Content Creator,PhD,1,89594,3,5,24,4,False
EMP0339,46,Female,Finance,Financial Analyst,PhD,6,88155,5,4,23,5,False
EMP0340,47,Male,Operations,Operations Associate,PhD,2,109987,3,2,3,4,False
EMP0341,51,Other,Sales,Sales Manager,High School,13,58001,3,5,14,2,True
EMP0342,38,Other,HR,HR Manager,PhD,11,48161,5,4,4,3,False
EMP0343,28,Female,Operations,Operations Associate,High School,6,99571,2,4,34,2,True
EMP0344,58,Other,Finance,Accountant,PhD,12,47298,5,4,53,1,False
EMP0345,52,Female,HR,HR Generalist,Bachelors,27,56293,4,4,34,2,False
EMP0346,60,Female,IT,Software Engineer,High School,16,74903,5,1,24,2,True
EMP0347,59,Female,IT,DevOps Engineer,Masters,13,62757,5,3,34,3,False
EMP0348,44,Other,Finance,Accountant,High School,2,49950,2,1,7,5,True
EMP0349,50,Male,IT,DevOps Engineer,Bachelors,9,86166,5,1,5,3,True
EMP0350,40,Other,Finance,Financial Analyst,Masters,20,127233,5,4,38,5,False
EMP0351,42,Male,Marketing,Marketing Specialist,Bachelors,11,87785,2,3,20,4,False
EMP0352,50,Female,Marketing,Content Creator,Masters,8,122415,2,1,39,2,False
EMP0353,23,Male,R&D,Product Developer,Bachelors,1,73057,4,2,46,1,True
EMP0354,39,Female,Sales,Sales Executive,PhD,5,99158,1,4,39,3,True
EMP0355,53,Other,Sales,Sales Manager,PhD,8,85882,4,1,72,4,True
EMP0356,28,Female,Finance,Accountant,Masters,1,63658,5,4,14,5,False
EMP0357,41,Female,R&D,Research Scientist,PhD,21,113919,5,2,39,2,False
EMP0358,50,Male,Finance,Financial Analyst,PhD,14,111242,1,3,11,1,True
EMP0359,43,Other,HR,HR Generalist,High School,23,146762,5,5,1,3,False
EMP0360,56,Female,Finance,Financial Analyst,PhD,6,127829,2,4,13,3,True
EMP0361,55,Other,Operations,Operations Associate,Masters,31,139815,5,2,20,1,True
EMP0362,25,Female,Operations,Logistics Manager,High School,5,116039,5,3,37,5,False
EMP0363,50,Female,Finance,Accountant,High School,22,131362,1,5,72,1,True
EMP0364,40,Female,IT,Software Engineer,High School,17,59595,1,3,5,3,True
EMP0365,25,Male,Operations,Logistics Manager,High School,2,95040,5,4,1,3,False
EMP0366,51,Male,HR,HR Generalist,High School,27,117273,5,2,28,5,True
EMP0367,37,Male,Operations,Operations Associate,PhD,4,122565,2,4,78,3,True
EMP0368,39,Female,Finance,Accountant,Masters,4,133931,4,3,37,1,True
EMP0369,46,Other,Finance,Financial Analyst,High School,22,59910,3,1,16,1,True
EMP0370,54,Other,R&D,Product Developer,PhD,27,78645,2,3,16,4,True
EMP0371,29,Female,IT,Data Scientist,High School,1,106211,5,4,41,5,False
EMP0372,27,Male,HR,HR Manager,High School,1,120985,3,3,22,5,False
EMP0373,46,Male,IT,Data Scientist,Masters,15,71879,1,3,53,5,True
EMP0374,30,Other,HR,HR Manager,High School,10,66411,3,1,68,1,True
EMP0375,31,Female,IT,DevOps Engineer,Masters,10,155390,5,4,32,2,True
EMP0376,29,Other,Marketing,Content Creator,Masters,3,116377,2,1,7,3,True
EMP0377,39,Male,IT,Data Scientist,High School,4,207920,4,1,31,3,False
EMP0378,47,Other,Operations,Logistics Manager,Bachelors,17,121414,1,5,38,4,True
EMP0379,41,Female,Finance,Accountant,PhD,11,114119,1,2,52,2,True
EMP0380,47,Other,Operations,Logistics Manager,Bachelors,9,139109,2,2,31,4,True
EMP0381,48,Male,Operations,Operations Associate,Masters,2,144331,4,3,20,2,False
EMP0382,56,Other,IT,Software Engineer,Masters,18,205978,5,1,44,3,True
EMP0383,34,Female,R&D,Product Developer,High School,13,54232,1,4,40,5,False
EMP0384,45,Male,HR,HR Generalist,High School,7,114896,1,3,39,5,False
EMP0385,47,Female,Finance,Accountant,Masters,12,126117,5,2,42,1,True
EMP0386,52,Male,Marketing,Marketing Specialist,High School,26,97530,3,1,0,5,True
EMP0387,29,Male,HR,HR Generalist,PhD,6,142539,2,5,40,4,False
EMP0388,32,Other,R&D,Research Scientist,Masters,8,100989,1,2,37,1,True
EMP0389,29,Other,Operations,Operations Associate,Masters,6,57348,5,1,9,3,True
EMP0390,58,Female,R&D,Product Developer,PhD,5,121924,4,5,24,5,False
EMP0391,58,Other,Operations,Operations Associate,Bachelors,17,124650,4,3,3,4,False
EMP0392,40,Female,HR,HR Generalist,PhD,2,41451,4,3,15,3,False
EMP0393,42,Male,Operations,Logistics Manager,High School,8,129315,5,4,39,1,True
EMP0394,26,Female,HR,HR Generalist,High School,1,114595,3,2,38,2,True
EMP0395,40,Male,Operations,Logistics Manager,High School,17,120235,5,2,39,5,False
EMP0396,49,Other,R&D,Product Developer,Bachelors,20,138081,1,3,39,3,True
EMP0397,46,Male,Marketing,Content Creator,PhD,16,62973,5,2,0,5,True
EMP0398,42,Female,R&D,Research Scientist,Bachelors,5,96380,4,4,68,4,False
EMP0399,34,Female,Sales,Sales Manager,High School,7,110139,3,5,29,5,False
EMP0400,34,Male,IT,Data Scientist,Bachelors,7,158406,3,2,29,3,True
EMP0401,41,Female,HR,HR Generalist,Masters,1,70482,1,1,26,5,True
EMP0402,41,Other,Marketing,Content Creator,Masters,11,47796,4,2,24,2,True
EMP0403,36,Female,Operations,Logistics Manager,Bachelors,4,138187,3,3,1,1,False
EMP0404,47,Male,Operations,Logistics Manager,Bachelors,18,123454,3,3,33,4,False
EMP0405,41,Male,IT,Software Engineer,Masters,17,59292,5,5,10,1,False
EMP0406,39,Male,Sales,Sales Executive,Masters,7,126682,3,5,72,3,False
EMP0407,26,Other,HR,HR Manager,High School,0,40144,5,1,39,4,False
EMP0408,47,Other,Marketing,Marketing Specialist,Bachelors,6,41936,2,5,72,3,True
EMP0409,58,Female,Sales,Sales Executive,Masters,1,139738,1,1,35,4,False
EMP0410,41,Male,Finance,Financial Analyst,Bachelors,2,40269,4,4,14,1,False
EMP0411,30,Male,Sales,Sales Executive,PhD,9,98053,1,2,1,3,True
EMP0412,26,Female,Marketing,Content Creator,PhD,2,62615,3,3,14,3,False
EMP0413,51,Female,IT,DevOps Engineer,PhD,26,139566,1,5,40,2,False
EMP0414,56,Female,HR,HR Generalist,Masters,17,26797,2,4,13,4,False
EMP0415,37,Other,Finance,Financial Analyst,Masters,8,106622,5,5,25,4,False
EMP0416,51,Male,R&D,Research Scientist,High School,28,35529,4,3,19,1,False
EMP0417,50,Male,Finance,Accountant,High School,10,67526,2,2,0,5,False
EMP0418,37,Male,HR,HR Generalist,Bachelors,12,136873,2,5,15,1,True
EMP0419,53,Male,Operations,Operations Associate,Bachelors,4,114112,4,4,49,1,False
EMP0420,30,Other,IT,Software Engineer,Masters,7,227455,3,3,40,2,False
EMP0421,58,Other,Marketing,Content Creator,PhD,26,28206,4,2,27,1,True
EMP0422,54,Male,Sales,Sales Manager,Bachelors,26,115757,4,2,67,1,True
EMP0423,27,Other,Operations,Logistics Manager,Masters,4,58081,1,2,76,4,True
EMP0424,45,Female,IT,Data Scientist,High School,20,154824,4,4,31,4,False
EMP0425,52,Other,R&D,Product Developer,High School,24,67447,2,5,27,4,False
EMP0426,50,Other,Finance,Financial Analyst,High School,21,47180,1,1,8,4,False
EMP0427,45,Other,R&D,Product Developer,Masters,23,126896,5,1,31,3,True
EMP0428,57,Female,Marketing,Marketing Specialist,PhD,14,114951,4,2,30,2,False
EMP0429,35,Female,R&D,Product Developer,High School,13,35458,3,1,64,1,True
EMP0430,60,Male,Operations,Operations Associate,PhD,20,132433,2,5,16,4,True
EMP0431,29,Male,Finance,Financial Analyst,Masters,8,57191,1,1,2,4,True
EMP0432,51,Other,Sales,Sales Manager,Masters,15,137552,2,3,78,4,False
EMP0433,53,Other,IT,Data Scientist,Bachelors,10,217375,1,1,23,3,False
EMP0434,37,Male,R&D,Product Developer,High School,13,93361,3,4,38,1,True
EMP0435,48,Male,Sales,Sales Executive,Bachelors,12,99981,5,4,1,5,False
EMP0436,57,Female,Finance,Financial Analyst,Bachelors,36,113080,1,4,20,3,True
EMP0437,48,Male,HR,HR Manager,High School,1,120354,1,5,14,2,True
EMP0438,52,Other,HR,HR Manager,High School,17,104811,1,3,20,1,True
EMP0439,48,Male,Marketing,Marketing Specialist,PhD,9,25794,5,3,11,2,False
EMP0440,49,Female,Operations,Operations Associate,Masters,3,95083,3,3,20,5,False
EMP0441,53,Other,Sales,Sales Manager,Masters,31,68268,4,3,27,3,False
EMP0442,31,Female,Marketing,Marketing Specialist,Masters,4,73874,3,2,15,5,False
EMP0443,60,Female,Sales,Sales Manager,Masters,35,58880,5,1,6,2,True
EMP0444,39,Male,HR,HR Generalist,PhD,15,107073,4,2,26,3,True
EMP0445,52,Female,Sales,Sales Executive,Bachelors,16,136968,1,1,26,1,True
EMP0446,55,Male,Finance,Financial Analyst,Masters,24,75440,2,1,23,2,True
EMP0447,50,Other,Sales,Sales Manager,PhD,17,146434,2,3,14,5,False
EMP0448,58,Other,Operations,Operations Associate,High School,34,42332,3,3,6,1,False
EMP0449,37,Other,Sales,Sales Executive,Masters,13,90010,4,3,12,2,True
EMP0450,49,Female,HR,HR Generalist,Masters,20,86018,2,2,6,4,True
EMP0451,40,Female,R&D,Research Scientist,Bachelors,17,77462,5,1,17,2,True
EMP0452,60,Other,IT,Data Scientist,Bachelors,17,135736,5,1,10,3,False
EMP0453,37,Other,Operations,Logistics Manager,Masters,15,140405,1,5,72,4,False
EMP0454,59,Female,Finance,Financial Analyst,Bachelors,36,96612,1,1,27,4,True
EMP0455,58,Female,IT,Software Engineer,Masters,6,225766,3,1,13,3,False
EMP0456,30,Male,Sales,Sales Executive,Masters,1,152465,1,4,24,3,True
EMP0457,41,Female,R&D,Research Scientist,Masters,16,51182,2,4,31,1,False
EMP0458,23,Female,Finance,Accountant,Bachelors,2,115867,5,4,17,3,False
EMP0459,22,Female,Sales,Sales Executive,Masters,0,115006,3,1,23,3,True
EMP0460,27,Female,R&D,Product Developer,PhD,7,135529,4,4,2,1,False
EMP0461,59,Male,Finance,Accountant,Bachelors,11,85986,4,3,14,4,False
EMP0462,53,Male,Sales,Sales Executive,High School,33,43644,1,3,19,5,True
EMP0463,49,Other,Operations,Operations Associate,High School,19,110724,2,3,13,2,True
EMP0464,38,Female,Sales,Sales Manager,Bachelors,0,48895,3,5,0,1,True
EMP0465,34,Other,Sales,Sales Executive,PhD,13,85167,1,1,34,5,True
EMP0466,48,Other,Finance,Accountant,High School,16,49506,3,3,3,2,False
EMP0467,33,Male,R&D,Research Scientist,High School,2,109056,1,1,16,5,True
EMP0468,25,Female,HR,HR Manager,High School,1,33789,2,4,38,3,True
EMP0469,54,Other,Finance,Financial Analyst,PhD,29,50851,5,5,46,1,True
EMP0470,35,Female,Sales,Sales Manager,Masters,3,144737,4,4,22,1,False
EMP0471,43,Other,Operations,Logistics Manager,High School,15,86567,3,4,31,4,False
EMP0472,55,Female,Sales,Sales Executive,High School,0,146463,1,1,16,5,True
EMP0473,23,Other,Sales,Sales Manager,Masters,2,99461,2,1,13,2,True
EMP0474,25,Female,Finance,Financial Analyst,Masters,1,118423,4,4,18,3,False
EMP0475,49,Female,Finance,Accountant,PhD,6,142376,4,1,36,3,True
EMP0476,48,Female,HR,HR Generalist,High School,20,57831,2,5,19,4,False
EMP0477,31,Other,IT,IT Manager,PhD,7,214972,4,3,19,3,False
EMP0478,56,Female,IT,Software Engineer,High School,20,115176,2,5,19,2,False
EMP0479,49,Male,Finance,Financial Analyst,High School,0,37342,2,5,10,2,True
EMP0480,57,Female,Operations,Operations Associate,Masters,13,113583,3,2,21,4,False
EMP0481,57,Female,Sales,Sales Executive,High School,21,45273,5,2,36,2,True
EMP0482,42,Female,IT,Data Scientist,Masters,17,113078,3,3,15,1,False
EMP0483,23,Other,R&D,Research Scientist,Bachelors,2,57915,5,2,57,3,True
EMP0484,26,Other,R&D,Research Scientist,PhD,3,85573,1,5,17,1,True
EMP0485,51,Other,Sales,Sales Executive,PhD,24,118712,4,2,48,3,True
EMP0486,58,Male,Finance,Accountant,PhD,27,76980,1,1,27,1,True
EMP0487,35,Other,Finance,Accountant,Bachelors,15,86995,5,3,6,1,False
EMP0488,34,Other,Operations,Logistics Manager,High School,5,111241,5,4,36,2,True
EMP0489,50,Other,Finance,Accountant,High School,25,144088,3,3,53,5,False
EMP0490,29,Male,Finance,Financial Analyst,High School,6,41069,1,3,8,3,False
EMP0491,44,Other,IT,Software Engineer,High School,4,90047,4,1,18,3,False
EMP0492,57,Female,Operations,Logistics Manager,PhD,14,136831,3,1,7,1,False
EMP0493,52,Other,Sales,Sales Executive,Masters,5,151523,4,5,2,5,False
EMP0494,59,Female,Finance,Financial Analyst,High School,32,47203,4,2,12,2,True
EMP0495,53,Other,Sales,Sales Executive,Bachelors,1,103350,4,1,33,3,False
EMP0496,54,Other,Finance,Financial Analyst,Masters,32,57969,3,2,74,1,False
EMP0497,24,Other,IT,DevOps Engineer,PhD,0,205902,1,3,20,1,True
EMP0498,39,Other,R&D,Product Developer,Masters,6,95838,4,3,30,5,False
EMP0499,50,Male,Marketing,Marketing Specialist,PhD,26,53351,3,4,60,5,False
EMP0500,33,Female,Marketing,Marketing Specialist,Bachelors,1,102813,2,1,41,2,True
EMP0501,54,Female,R&D,Research Scientist,High School,25,113001,5,2,24,5,True
EMP0502,31,Female,Finance,Accountant,Bachelors,5,146776,1,5,0,1,True
EMP0503,42,Other,Operations,Logistics Manager,High School,10,90368,1,4,58,3,False
EMP0504,23,Female,R&D,Research Scientist,PhD,1,89138,2,4,71,2,False
EMP0505,29,Female,R&D,Product Developer,High School,5,116260,4,1,1,1,True
EMP0506,28,Female,IT,IT Manager,PhD,2,215960,1,1,26,4,True
EMP0507,23,Female,Finance,Accountant,Bachelors,2,60286,2,3,24,5,True
EMP0508,38,Male,IT,DevOps Engineer,Masters,4,182741,5,4,13,5,False
EMP0509,56,Female,Sales,Sales Manager,High School,26,45525,4,5,8,4,False
EMP0510,57,Male,IT,IT Manager,High School,33,217217,4,3,30,1,False
EMP0511,50,Other,Sales,Sales Manager,Bachelors,25,84893,2,5,47,2,True
EMP0512,42,Male,R&D,Research Scientist,Masters,12,151032,4,2,17,5,True
EMP0513,25,Male,HR,HR Generalist,High School,2,47033,3,2,15,1,True
EMP0514,52,Male,Finance,Accountant,Bachelors,7,37914,1,5,8,5,True
EMP0515,31,Male,Operations,Operations Associate,Bachelors,2,87636,5,2,28,2,False
EMP0516,30,Other,IT,IT Manager,PhD,3,148574,2,3,12,1,True
EMP0517,56,Female,Marketing,Marketing Specialist,High School,6,137359,2,5,50,3,False
EMP0518,31,Female,Finance,Financial Analyst,PhD,5,29822,2,5,28,5,True
EMP0519,43,Female,Operations,Logistics Manager,Bachelors,3,76986,1,3,47,1,True
EMP0520,27,Other,Marketing,Marketing Specialist,Bachelors,5,146203,3,5,6,1,False
EMP0521,51,Other,Finance,Financial Analyst,Masters,19,82127,1,2,34,1,True
EMP0522,24,Female,R&D,Product Developer,Masters,1,117342,3,2,15,3,False
EMP0523,48,Female,IT,DevOps Engineer,PhD,0,155004,4,4,51,1,False
EMP0524,49,Female,Sales,Sales Manager,Masters,29,82595,2,1,25,2,True
EMP0525,45,Male,R&D,Product Developer,Bachelors,18,118820,3,2,33,1,True
EMP0526,47,Other,Finance,Financial Analyst,Masters,8,53934,5,3,16,4,False
EMP0527,36,Male,IT,DevOps Engineer,High School,7,82972,5,5,31,5,False
EMP0528,59,Other,Marketing,Content Creator,High School,1,68489,1,3,38,1,False
EMP0529,36,Female,Sales,Sales Executive,PhD,12,110520,1,1,16,2,True
EMP0530,23,Male,HR,HR Generalist,Bachelors,3,49860,1,2,2,2,True
EMP0531,39,Other,R&D,Product Developer,Bachelors,15,87971,3,4,38,2,False
EMP0532,27,Male,Finance,Financial Analyst,PhD,5,137191,3,3,1,2,True
EMP0533,43,Female,Finance,Financial Analyst,PhD,22,118422,2,2,37,2,True
EMP0534,22,Other,HR,HR Manager,PhD,2,57790,4,2,16,5,True
EMP0535,33,Female,Operations,Operations Associate,High School,11,130680,4,2,1,5,False
EMP0536,38,Male,Sales,Sales Manager,PhD,8,59946,1,1,13,5,True
EMP0537,54,Male,HR,HR Manager,Bachelors,27,116559,4,1,39,5,False
EMP0538,47,Female,IT,DevOps Engineer,Masters,23,41136,5,4,43,5,False
EMP0539,56,Other,IT,IT Manager,PhD,9,195658,3,2,39,2,True
EMP0540,28,Female,Sales,Sales Manager,Bachelors,4,114636,2,4,25,3,False
EMP0541,39,Other,R&D,Product Developer,Bachelors,14,76200,1,4,9,2,True
EMP0542,59,Other,Operations,Operations Associate,High School,11,38077,5,4,38,4,False
EMP0543,45,Female,Operations,Logistics Manager,Masters,24,90658,4,5,28,5,False
EMP0544,37,Other,R&D,Product Developer,PhD,14,89269,4,1,16,4,True
EMP0545,30,Female,Sales,Sales Executive,Masters,4,79645,5,2,61,5,True
EMP0546,43,Female,HR,HR Manager,Masters,20,58380,4,3,78,4,True
EMP0547,43,Female,Marketing,Content Creator,PhD,7,79283,2,2,20,3,False
EMP0548,23,Female,Marketing,Marketing Specialist,Masters,3,105942,3,5,15,3,False
EMP0549,27,Female,IT,Data Scientist,PhD,4,197796,2,4,14,1,True
EMP0550,37,Male,Sales,Sales Executive,Masters,1,83658,1,1,77,1,False
EMP0551,60,Female,Sales,Sales Executive,Masters,25,78544,5,1,66,4,False
EMP0552,25,Other,Sales,Sales Manager,Masters,0,64193,5,5,75,1,True
EMP0553,29,Female,Marketing,Marketing Specialist,Bachelors,2,133735,1,1,26,4,True
EMP0554,52,Other,HR,HR Manager,High School,12,38649,5,5,35,3,False
EMP0555,53,Female,Sales,Sales Executive,Bachelors,14,60981,4,2,19,4,True
EMP0556,42,Male,Marketing,Marketing Specialist,Masters,21,140809,1,5,65,4,False
EMP0557,29,Female,Sales,Sales Manager,Bachelors,4,139837,4,4,2,3,False
EMP0558,29,Other,HR,HR Manager,High School,4,132213,4,5,34,5,False
EMP0559,47,Male,IT,Data Scientist,Bachelors,16,157800,5,2,34,3,False
EMP0560,23,Male,Finance,Financial Analyst,High School,0,50910,4,4,37,4,False
EMP0561,49,Other,HR,HR Generalist,PhD,5,106804,3,5,34,2,False
EMP0562,29,Female,Sales,Sales Executive,Bachelors,1,89327,2,2,25,2,True
EMP0563,43,Female,Sales,Sales Executive,Masters,3,47293,1,2,16,1,True
EMP0564,26,Female,Operations,Logistics Manager,Masters,5,103664,1,5,54,3,True
EMP0565,46,Other,IT,Data Scientist,PhD,8,106573,4,1,38,2,False
EMP0566,48,Female,HR,HR Manager,High School,14,62544,5,2,1,1,True
EMP0567,25,Other,Sales,Sales Manager,Masters,0,63552,3,1,14,4,False
EMP0568,33,Male,Finance,Accountant,PhD,4,55229,5,5,78,2,False
EMP0569,28,Other,R&D,Research Scientist,PhD,7,56844,5,1,11,1,True
EMP0570,41,Female,Operations,Operations Associate,High School,17,22163,4,2,31,3,True
EMP0571,53,Male,Sales,Sales Executive,PhD,15,42247,4,2,23,5,True
EMP0572,35,Other,HR,HR Generalist,High School,2,57522,3,2,71,2,True
EMP0573,32,Female,HR,HR Manager,High School,2,97948,4,2,29,3,True
EMP0574,25,Other,R&D,Product Developer,Masters,2,63683,1,4,11,2,True
EMP0575,24,Female,Sales,Sales Executive,High School,2,110539,5,2,8,5,True
EMP0576,37,Other,Operations,Logistics Manager,Masters,6,77635,4,3,25,1,True
EMP0577,35,Female,Finance,Accountant,PhD,4,51064,5,4,6,1,True
EMP0578,53,Other,HR,HR Manager,High School,32,30823,1,4,78,3,True
EMP0579,50,Female,Operations,Operations Associate,Masters,28,106908,1,3,21,1,False
EMP0580,23,Female,Sales,Sales Manager,High School,1,90982,1,4,49,1,True
EMP0581,50,Other,HR,HR Generalist,PhD,25,37868,5,4,40,2,False
EMP0582,56,Female,Sales,Sales Executive,PhD,33,134919,4,1,25,5,True
EMP0583,55,Female,Marketing,Content Creator,PhD,5,61400,3,4,7,5,False
EMP0584,27,Other,R&D,Product Developer,Masters,0,71955,5,2,48,2,True
EMP0585,22,Female,IT,IT Manager,PhD,2,95258,3,5,33,2,False
EMP0586,60,Male,HR,HR Generalist,High School,26,45734,4,2,36,5,False
EMP0587,44,Male,Sales,Sales Manager,Masters,1,124855,4,5,39,5,False
EMP0588,37,Other,HR,HR Generalist,High School,17,83028,2,4,22,2,True
EMP0589,53,Other,Operations,Logistics Manager,Masters,29,102980,2,4,21,4,False
EMP0590,24,Male,IT,IT Manager,PhD,2,167426,2,1,35,1,True
EMP0591,32,Male,Finance,Financial Analyst,High School,2,96411,2,4,29,3,True
EMP0592,57,Other,Sales,Sales Manager,Masters,35,31397,1,5,0,2,True
EMP0593,31,Male,IT,IT Manager,Bachelors,9,93196,4,5,1,5,False
EMP0594,42,Female,Marketing,Content Creator,Bachelors,4,96420,4,1,37,5,False
EMP0595,47,Male,HR,HR Manager,High School,5,52986,4,4,37,4,False
EMP0596,34,Other,Operations,Operations Associate,Bachelors,13,111319,3,5,21,2,True
EMP0597,42,Male,Operations,Logistics Manager,High School,12,73239,4,4,34,3,False
EMP0598,50,Female,Operations,Operations Associate,Bachelors,6,48906,2,5,22,5,True
EMP0599,58,Other,Marketing,Marketing Specialist,High School,33,121460,5,1,31,2,True
EMP0600,37,Female,Finance,Financial Analyst,Masters,0,96834,2,5,55,3,True
EMP0601,52,Female,Finance,Accountant,Bachelors,15,84304,2,5,29,1,False
EMP0602,35,Female,HR,HR Manager,Masters,4,62900,5,1,17,5,False
EMP0603,28,Other,Marketing,Marketing Specialist,PhD,4,124643,2,2,17,3,True
EMP0604,22,Male,Finance,Financial Analyst,Bachelors,0,45382,5,5,14,1,False
EMP0605,35,Female,IT,IT Manager,Masters,2,68503,5,1,21,1,False
EMP0606,39,Other,Operations,Logistics Manager,Bachelors,11,49780,4,2,18,1,True
EMP0607,59,Other,IT,IT Manager,PhD,19,114118,2,4,12,4,True
EMP0608,28,Female,Operations,Logistics Manager,High School,1,22661,4,4,14,1,True
EMP0609,52,Other,Finance,Financial Analyst,Masters,26,102758,4,1,6,5,False
EMP0610,37,Female,R&D,Product Developer,Masters,4,79313,5,4,39,1,True
EMP0611,53,Female,Marketing,Marketing Specialist,Masters,17,49028,3,4,14,3,False
EMP0612,43,Male,Finance,Accountant,High School,4,60728,2,1,12,3,True
EMP0613,46,Other,Operations,Operations Associate,PhD,15,98913,3,3,26,2,True
EMP0614,54,Other,IT,Data Scientist,Bachelors,23,51094,5,3,40,5,False
EMP0615,60,Other,Finance,Accountant,PhD,7,91700,3,5,1,5,False
EMP0616,59,Male,Sales,Sales Manager,High School,12,127494,3,4,35,1,False
EMP0617,23,Female,Operations,Logistics Manager,Bachelors,0,70744,4,4,1,2,False
EMP0618,33,Female,Operations,Logistics Manager,High School,3,129454,3,2,33,1,True
EMP0619,46,Male,Operations,Operations Associate,PhD,20,93667,2,1,38,4,False
EMP0620,55,Male,IT,DevOps Engineer,High School,28,126914,4,4,33,3,False
EMP0621,41,Other,Finance,Accountant,Masters,5,148097,4,1,55,2,False
EMP0622,51,Other,Marketing,Content Creator,Masters,20,87788,1,5,1,4,False
EMP0623,36,Other,Sales,Sales Manager,Bachelors,12,85531,2,5,22,4,True
EMP0624,51,Female,R&D,Research Scientist,High School,28,35716,3,5,9,1,True
EMP0625,28,Male,Marketing,Marketing Specialist,High School,8,148468,1,1,19,2,True
EMP0626,29,Other,IT,Data Scientist,Masters,2,118785,5,2,23,3,False
EMP0627,26,Female,Operations,Operations Associate,High School,4,41843,5,2,35,4,False
EMP0628,28,Male,HR,HR Generalist,Masters,1,130218,1,1,8,2,False
EMP0629,51,Other,Marketing,Marketing Specialist,Bachelors,26,54020,2,4,72,5,True
EMP0630,51,Other,Operations,Operations Associate,Bachelors,15,107881,5,2,34,1,False
EMP0631,28,Male,HR,HR Manager,Bachelors,0,109129,4,3,7,3,False
EMP0632,50,Female,Operations,Logistics Manager,Bachelors,5,90556,5,5,17,2,False
EMP0633,46,Female,IT,DevOps Engineer,Bachelors,21,121651,5,4,6,2,False
EMP0634,42,Other,Operations,Operations Associate,PhD,12,67013,2,3,3,1,False
EMP0635,36,Other,HR,HR Generalist,High School,9,71186,2,2,25,4,False
EMP0636,54,Female,Sales,Sales Executive,Bachelors,4,53446,5,1,3,3,True
EMP0637,29,Other,Marketing,Content Creator,Masters,3,66820,2,4,6,4,True
EMP0638,25,Female,Operations,Operations Associate,PhD,3,54038,3,4,23,3,False
EMP0639,23,Male,HR,HR Manager,PhD,3,138061,1,1,49,4,True
EMP0640,55,Male,Marketing,Marketing Specialist,Masters,34,100918,2,2,62,1,True
EMP0641,54,Female,Sales,Sales Manager,Masters,9,150538,2,3,14,2,False
EMP0642,34,Female,HR,HR Generalist,PhD,10,63243,1,4,28,1,True
EMP0643,41,Other,Marketing,Content Creator,Masters,20,100522,1,2,4,4,True
EMP0644,42,Female,R&D,Product Developer,High School,7,57964,2,2,25,5,False
EMP0645,41,Other,Marketing,Content Creator,Masters,2,47477,5,5,4,1,False
EMP0646,51,Other,IT,IT Manager,Masters,24,82267,2,3,29,4,True
EMP0647,40,Other,R&D,Research Scientist,Masters,1,104151,1,4,18,3,True
EMP0648,59,Other,Marketing,Content Creator,PhD,4,42822,3,4,77,4,False
EMP0649,56,Male,HR,HR Generalist,PhD,1,36739,1,1,71,1,True
EMP0650,33,Other,Marketing,Content Creator,Masters,8,127332,3,3,19,1,True
EMP0651,30,Other,Marketing,Content Creator,Masters,4,86098,5,3,10,3,False
EMP0652,50,Female,Finance,Financial Analyst,High School,28,72593,1,4,27,3,True
EMP0653,30,Female,Sales,Sales Manager,Bachelors,8,102419,5,5,0,5,False
EMP0654,52,Other,Sales,Sales Manager,Masters,5,41567,4,3,34,1,False
EMP0655,29,Male,Sales,Sales Manager,Masters,1,107542,4,1,36,5,False
EMP0656,51,Female,HR,HR Manager,Masters,26,124684,2,1,7,4,True
EMP0657,47,Male,IT,IT Manager,Masters,2,55650,3,3,59,3,False
EMP0658,46,Female,Finance,Financial Analyst,PhD,11,97750,1,1,17,5,True
EMP0659,43,Other,R&D,Research Scientist,Masters,10,120225,4,2,0,5,True
EMP0660,59,Female,R&D,Research Scientist,Masters,29,67299,4,4,8,3,False
EMP0661,40,Male,Operations,Logistics Manager,Bachelors,17,53577,4,2,12,4,True
EMP0662,56,Female,IT,Software Engineer,PhD,27,131509,2,1,72,1,True
EMP0663,51,Male,Sales,Sales Manager,High School,0,72599,3,3,24,5,False
EMP0664,28,Male,Finance,Financial Analyst,PhD,2,142655,2,2,53,5,True
EMP0665,58,Other,Finance,Financial Analyst,PhD,3,135342,1,5,7,2,True
EMP0666,30,Other,Sales,Sales Executive,PhD,7,58879,2,2,53,3,True
EMP0667,41,Other,Marketing,Content Creator,Masters,17,120888,3,3,27,1,False
EMP0668,39,Male,R&D,Research Scientist,PhD,3,72447,3,1,69,4,True
EMP0669,41,Female,Marketing,Marketing Specialist,Masters,3,91962,4,3,21,1,False
EMP0670,38,Other,Sales,Sales Executive,High School,1,142820,2,1,21,5,True
EMP0671,41,Other,HR,HR Generalist,Bachelors,4,142846,4,4,36,5,False
EMP0672,48,Other,Operations,Logistics Manager,Masters,24,146626,5,1,7,1,True
EMP0673,34,Female,Operations,Operations Associate,High School,4,69008,5,4,23,5,False
EMP0674,23,Other,HR,HR Generalist,Bachelors,2,148042,2,5,6,1,True
EMP0675,44,Male,IT,IT Manager,PhD,5,70597,2,4,14,5,False
EMP0676,46,Other,Marketing,Marketing Specialist,Bachelors,19,82262,5,5,34,1,False
